mnenomics,rgdp_sa,rgdp_noil_sa,rgdp_tradable_sa,rgdp_ntradable_sa,gdp_nom_sa,gdp_nom_noil_sa,gdp_nom_tradable_sa,gdp_nom_ntradable_sa,gdp_def_sa,gdp_noil_def_sa,gdp_tradable_def_sa,gdp_ntradable_def_sa,rgdp_tradable_def_sa,rgdp_ntradable_def_sa,cons_sa,inv_sa,gov_sa,ex_sa,im_sa,of_sa,fut_sa,oil_prod_sa,oil_price_sa,real_oil_price_sa,cpi_sa,inf_sa,noil_inf_sa,tradable_inf_su,non-tradable_inf_su,cpi_us_sa,w_nom_sa,real_w_nom_sa,lf_sa,gov_dep_sa,nfa_sa,res_mon_sa,mu_sa,fx_rate_sa,len_i_rate_sa,neer_sa,n_o_import_neer_sa,tp_cpi_sa
Description:,Real Gross Domestic Product,Real Non-Oil Gross Domestic Product,Real Tradable Gross Domestic Product,Real Non-tradable Gross Domestic Product,Nominal Gross Domestic Product,Nominal Non-Oil Gross Domestic Product,Nominal Tradable Gross Domestic Product,Nominal Non-tradable Gross Domestic Product,Gross Domestic Product Deflator,Non-oil Gross Domestic Product Deflator,Tradable Gross Domestic Product Deflator,Non-tradable Gross Domestic Product Deflator,Tradable Gross Domestic Product Deflator,Non-tradable Gross Domestic Product Deflator,Consumption,Investment,Government Spending,Export,Import,Oil Fund's Assets,Oil Fund's Transfers,Oil Production,Spot Prices of Brent (Europe) Crude Oil,Spot Prices of Brent (Europe) Crude Oil,Consumer Price Index,Inflation,Non-oil inflation,Tradable Inflation,Non Tradable Inflation,US Consumer Price Index,Average Nominal Wage,Average Nominal Wage,Labor Force,Government Deposits,Net Foreign Assets,Reserve Money,Monetary Policy ?ndicator,Exchange Rate,Loans in national currency 9-12 months,NEER,Non Oil Import NEER,Trade Partner's CPI
Units:,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,%,%,%,%,%,%,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,Million USD,Million USD,Thousand Ton,USD/Barrel,USD/Barrel,"Index, ","Index, ","Index, ","Index, ","Index, ","Index, 1982-1984=100",AZN,AZN,Thousand Person,Million AZN,Million AZN,Million AZN,Million AZN,USD/AZN,%,%,%,%
S.Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Adjusted,Not Adjusted,Not Adjusted,Not Adjusted
Frequency:,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Monthly,Monthly,Monthly,Monthly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Monthly,Monthly,Monthly
Release Dates,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,After 2nd weeks of the following month,After 2nd weeks of the following month,After the 2nd weeks of the following month,Every weeks of the month,Every weeks of the month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,On the 10th day of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily
Last modified:,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,January 15th/2021,January 15th/2021,June 14th/2021,June 10th/2021,June 10th/2021,June 14th/2021,June 14th/2022,June 14th/2023,June 14th/2022,June 14th/2023,June 10th/2021,June 14th/2021,June 14th/2021,June 14th/2022,May 31st/2021,May 31st/2022,May 31st/2023,May 31st/2024,May 31st/2025,April 30th/2021,April 30th/2022,April 30th/2023,April 30th/2024
Responsible,Nazrin Ramazanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link/source,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://oilfund.az/en/report-and-statistics/recent-figures,https://oilfund.az/en/report-and-statistics/recent-figures,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,https://www.eia.gov/dnav/pet/pet_pri_spt_s1_m.htm,https://www.eia.gov/dnav/pet/pet_pri_spt_s1_m.htm,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,https://fred.stlouisfed.org/series/CPIAUCSL,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,Central Bank of the Republic of Azerbaijan/Daily Analitical Balance,Central Bank of the Republic of Azerbaijan/Daily Analitical Balance,Central Bank of the Republic of Azerbaijan/Daily Analitical Balance,Central Bank of the Republic of Azerbaijan/Daily Analitical Balance,https://www.cbar.az/currency/rates,Central Bank of the Republic of Azerbaijan/Interest Rates,Central Bank of the Republic of Azerbaijan/Interest Rates,Central Bank of the Republic of Azerbaijan/Interest Rates,Central Bank of the Republic of Azerbaijan/Interest Rates
2003Q1,"2,175.54","1,221.69",402.51,823.96,"1,656.81","1,080.41",349.61,729.13,79.25,88.79,88.2,88.52,89.96091477,90.61581941,920.12,794.98,207.86,745.34,992,727,20,3800,31.41,17.16,96.89,NaN,NaN,NaN,NaN,183.37,72.56,0.72,3783.44,-59.95,410.63,425.25,47.42,0.98,NaN,94.38,103.68,131.08
2003Q2,"2,220.71","1,265.93",406.86,858.83,"1,736.43","1,115.26",357.74,754.26,80.19,89.11,88.78,88.99,90.0888654,89.45017599,986.23,890.28,214.19,728.13,1008.11,780,8,3900,26.14,14.23,98.72,104.4729364,101.8449712,101.5281821,101.8433924,183.07,73.91,0.73,3790.39,-68.71,461.16,444.7,40.92,0.98,NaN,88.49,96.8,133.4
