mnenomics,rgdp_su,rgdp_noil_su,rgdp_tradable_su,rgdp_ntradable_su,gdp_nom_su,gdp_nom_noil_su,gdp_nom_tradable_su,gdp_nom_ntradable_su,gdp_def_su,gdp_noil_def_su,gdp_tradable_def_su,gdp_ntradable_def_su,rgdp_tradable_def_su,rgdp_ntradable_def_su,cons_su,inv_su,gov_su,ex_su,im_su,of_su,fut_su,oil_prod_su,oil_price_su,real_oil_price_su,cpi_su,inf_su,noil_inf,tradable_inf_su,non-tradable_inf_su,cpi_us_su,w_nom_su,real_w_nom_su,lf_su,gov_dep_su,nfa_su,res_mon_su,mu_su,fx_rate_su,len_i_rate_su,neer_su,n_o_import_neer_su,tp_cpi_su
Description:,Real Gross Domestic Product,Real Non-Oil Gross Domestic Product,Real Tradable Gross Domestic Product,Real Non-tradable Gross Domestic Product,Nominal Gross Domestic Product,Nominal Non-Oil Gross Domestic Product,Nominal Tradable Gross Domestic Product,Nominal Non-tradable Gross Domestic Product,Gross Domestic Product Deflator,Non-oil Gross Domestic Product Deflator,Tradable Gross Domestic Product Deflator,Non-tradable Gross Domestic Product Deflator,Tradable Real Gross Domestic Product Deflator,Non-tradable Real Gross Domestic Product Deflator,Consumption,Investment,Government Spending,Export,Import,Oil Fund's Assets,Oil Fund's Transfers,Oil Production,Spot Prices of Brent (Europe) Crude Oil,Spot Prices of Brent (Europe) Crude Oil,Consumer Price Index,Inflation,Non-oil inflation,Tradable Inflation,Non Tradable Inflation,US Consumer Price Index,Average Nominal Wage,Average Real Wage,Labor Force,Government Deposits,Net Foreign Assets,Reserve Money,Monetary Policy Indicator,Exchange Rate,Loans in national currency 9-12 months,NEER,Non Oil Import NEER,Trade Partner's CPI
Units:,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,%,%,%,%,%,%,Million AZN,Million AZN,Million AZN,Million AZN,Million AZN,Million USD,Million USD,Thousand Ton,USD/Barrel,USD/Barrel,"Index, ","Index, ","Index, ","Index, ","Index, ","Index, 1982-1984=100",AZN,AZN,Thousand Person,Million AZN,Million AZN,Million AZN,Million AZN,USD/AZN,%,%,%,%
S.Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted,Not Adjusted
Frequency:,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Quarterly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Release Dates,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,1st week of the following quarter,After 2nd weeks of the following month,After 2nd weeks of the following month,After the 2nd weeks of the following month,Every weeks of the month,Every weeks of the month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,On the 10th day of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,After the 2nd weeks of the following month,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily
Last modified:,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,April 5th/2021,January 15th/2021,January 15th/2021,June 14th/2021,June 10th/2021,June 10th/2022,June 14th/2021,June 14th/2022,June 14th/2023,June 14th/2022,June 14th/2023,June 10th/2021,June 14th/2021,June 14th/2021,June 14th/2022,May 31st/2021,May 31st/2022,May 31st/2023,May 31st/2024,May 31st/2025,April 30th/2021,April 30th/2022,April 30th/2023,April 30th/2024
Responsible,Nazrin Ramazanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link/source,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://www.stat.gov.az/source/system_nat_accounts/,https://oilfund.az/en/report-and-statistics/recent-figures,https://oilfund.az/en/report-and-statistics/recent-figures,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,https://www.eia.gov/dnav/pet/pet_pri_spt_s1_m.htm,https://www.eia.gov/dnav/pet/pet_pri_spt_s1_m.htm,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,https://fred.stlouisfed.org/series/CPIAUCSL,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,The State Statistical Committee of the Republic of Azerbaijan/Monthly Macroeconomic Indicators,Central Bank of the Republic of Azerbaijan/Daily Analitical Balance,Central Bank of the Republic of Azerbaijan/Daily Analitical Balance,Central Bank of the Republic of Azerbaijan/Daily Analitical Balance,Central Bank of the Republic of Azerbaijan/Daily Analitical Balance,https://www.cbar.az/currency/rates,Central Bank of the Republic of Azerbaijan/Interest Rates,Central Bank of the Republic of Azerbaijan/Interest Rates,Central Bank of the Republic of Azerbaijan/Interest Rates,Central Bank of the Republic of Azerbaijan/Interest Rates
2003Q1,1752,993.4,251.4,742,1453.6,882.9,223.8,659.1,82.97,88.88,89.02,88.83,89.38,89.19,832.4,644.4,190.9,763.7,950.3,727,20,3800,31.41,17.16,99.6,NaN,NaN,NaN,NaN,183,72.83,73.12,3783.33,-59.95,410.63,398.1,47.42,0.98,NaN,94.38,102.7,131.6
2003Q2,2066.6,1232.1,424,808.1,1741.7,1116,365.1,750.9,84.28,90.58,86.11,92.92,86.22,93.04,918.3,763.7,198.1,765.6,867.7,780,8,3900,26.14,14.23,99.87,101.5788839,101.9126913,96.73,104.6,183.67,74.35,74.45,3791.57,-68.71,461.16,433.38,40.92,0.98,NaN,88.49,97.2,133.7
