,rate_aver,rate_1m,rate_1m3m,rate_3m6m ,rate_6m9m,rate_9m12m,rate1y3y,rate3y5y,ref_r
Comment,Average credit rate,up to 1 month,1 month -3 month ,3 month - 6 month,6 month - 9 month,9 month -12 month ,1 year - 3 years,3 years - 5 years,Refinancing (policy) rate
31/01/2005,17.35,18.58,19.92,19.61,18.05,16.72,13.68,18.37,7
28/02/2005,18.22,20.56,20.87,19.16,13.73,17.24,19.74,16.27,7
31/03/2005,16.13,20.33,20.27,18.33,11.62,17.58,14.63,13.46,7
30/04/2005,16.42,21.13,21.38,18.86,16.07,17.84,14.37,10.02,7
31/05/2005,17.37,20.16,20.79,19.48,15.32,17.18,15.87,15.53,7.5
30/06/2005,16.56,20.81,21.03,18.29,16.20,19.37,14.48,9.02,8
31/07/2005,17.18,19.09,22.34,18.66,18.07,18.67,14.32,11.21,8
31/08/2005,15.33,16.63,22.65,18.32,16.09,17.40,11.80,8.72,8
30/09/2005,15.34,16.68,20.00,14.80,15.57,16.24,14.70,10.44,8
31/10/2005,14.51,10.44,17.18,13.42,13.51,16.38,13.70,11.60,9
30/11/2005,16.71,21.17,17.30,15.88,16.36,16.43,17.39,12.88,9
31/12/2005,15.51,17.28,15.87,15.52,15.04,15.10,15.42,15.25,9
31/01/2006,16.58,21.92,21.69,17.15,14.28,15.40,16.74,13.88,9
28/02/2006,17.08,19.55,20.83,19.11,13.25,15.60,16.76,14.27,9
31/03/2006,16.34,20.76,19.54,17.79,17.73,15.31,16.25,12.05,9
30/04/2006,17.19,16.88,18.07,19.34,16.02,17.98,18.17,9.79,9
31/05/2006,17.41,22.34,23.53,21.67,17.65,17.36,18.37,8.13,9
30/06/2006,16.49,19.86,19.20,17.75,16.51,18.51,16.67,7.33,9
31/07/2006,16.43,15.50,19.89,15.67,15.08,18.68,17.88,9.08,9.5
31/08/2006,17.09,19.30,17.75,19.84,15.89,17.46,19.64,9.03,9.5
30/09/2006,18.05,21.31,15.41,18.82,14.91,19.31,19.82,8.27,9.5
31/10/2006,17.32,17.33,22.67,20.95,17.26,18.31,17.48,11.11,9.5
30/11/2006,17.73,14.20,20.93,18.20,14.90,20.34,19.05,9.77,9.5
31/12/2006,16.24,14.87,19.20,17.53,12.47,17.06,16.70,7.64,9.5
31/01/2007,17.49,17.27,18.64,19.01,15.66,17.81,17.45,14.03,9.5
28/02/2007,17.13,15.08,15.51,18.71,19.31,19.81,18.19,12.48,9.5
31/03/2007,14.72,15.68,4.06,19.09,22.51,20.31,17.12,13.48,9.5
30/04/2007,18.24,16.00,19.43,19.18,17.43,20.77,18.65,16.27,12
31/05/2007,18.17,16.30,20.47,19.54,21.55,20.69,20.46,14.16,12
30/06/2007,17.41,15.35,21.82,18.89,16.41,21.60,17.68,13.55,13
31/07/2007,19.45,18.19,21.86,17.83,20.17,20.71,20.86,14.45,13
31/08/2007,19.18,16.71,22.47,17.90,21.15,21.05,20.19,11.59,13
30/09/2007,23.33,16.82,20.48,19.13,20.27,48.11,19.29,11.06,13
31/10/2007,19.72,17.88,20.72,17.66,17.41,22.21,20.92,14.31,13
30/11/2007,19.08,18.95,21.33,18.08,17.91,21.40,19.16,13.65,13
31/12/2007,17.95,12.33,20.52,18.87,21.09,20.90,19.43,13.67,13
31/01/2008,19.58,18.94,20.29,18.18,20.40,21.97,19.62,15.14,13
29/02/2008,19.51,17.83,18.79,19.83,21.13,22.06,20.01,17.62,13
31/03/2008,20.73,19.67,20.01,18.71,23.31,22.35,22.13,14.83,13
30/04/2008,19.38,17.55,18.57,19.92,18.07,22.19,18.68,15.67,14
31/05/2008,19.60,27.45,17.43,18.47,21.62,20.94,20.00,14.82,14
30/06/2008,18.90,25.88,16.65,18.77,17.35,19.30,19.86,14.13,15
31/07/2008,20.19,19.32,21.53,18.01,18.53,21.09,21.17,15.78,15
31/08/2008,21.89,21.11,25.47,19.25,20.99,21.41,24.45,15.41,15
30/09/2008,19.80,19.50,21.57,17.25,20.64,21.17,19.46,16.33,15
31/10/2008,18.48,20.25,20.22,18.63,13.40,21.05,19.03,8.44,12
30/11/2008,19.52,20.98,22.38,19.73,16.01,21.35,21.73,13.84,10
31/12/2008,17.08,19.86,23.43,16.57,15.47,14.11,22.28,15.46,8
